date,title,media_type,url
20/08/2020,Seeing Titan,image,https://apod.nasa.gov/apod/image/2008/PIA21923_fig1SeeingTitan1024.jpg
21/08/2020,Unwinding M51,image,https://apod.nasa.gov/apod/image/2008/M51Unwound_crop600.jpg
22/08/2020,Yogi And Friends In 3D,image,https://apod.nasa.gov/apod/image/2008/mars10_st_path_big.jpg
23/08/2020,The Helix Nebula from Blanco and Hubble,image,https://apod.nasa.gov/apod/image/2008/helix_blancoHubble_1080.jpg
24/08/2020,Crescent Moon HDR,image,https://apod.nasa.gov/apod/image/2008/HdrMoon_Claro_1080.jpg
25/08/2020,Visualization: A Black Hole Accretion Disk,video,https://www.youtube.com/embed/l36UkYtq6m0?rel=0
26/08/2020,Cygnus Skyscape,image,https://apod.nasa.gov/apod/image/2008/CygnusVeil_Symon_960.jpg
27/08/2020,Shell Galaxies in Pisces,image,https://apod.nasa.gov/apod/image/2008/ngc474MP1024.jpg
28/08/2020,The Valley of Orion,image,https://apod.nasa.gov/apod/image/2008/PIA22089OrionValley.jpg
29/08/2020,Martian Chiaroscuro,image,https://apod.nasa.gov/apod/image/2008/marsHirise_ESP_035143_1325_1096.jpg
30/08/2020,NGC 6357: Cathedral to Massive Stars,image,https://apod.nasa.gov/apod/image/2008/ngc6357_hubble_960.jpg
31/08/2020,SS 433: Binary Star Micro-Quasar,video,https://www.youtube.com/embed/ld-bG1CjkZY?rel=0
01/09/2020,Salt Water Remnants on Ceres,video,https://www.youtube.com/embed/ALaOGmu1S0I?rel=0
02/09/2020,Jupiter and the Moons,image,https://apod.nasa.gov/apod/image/2009/JupiterAndMoons_Fedez_1080.jpg
03/09/2020,A Halo for Andromeda,image,https://apod.nasa.gov/apod/image/2009/STScI-H-p2046b-m-1024x1025.jpg
04/09/2020,The Wizard Nebula,image,https://apod.nasa.gov/apod/image/2009/AndrewKlinger_wizard_sho_res25_sig1024.jpg
05/09/2020,A Falcon 9 Moon,image,https://apod.nasa.gov/apod/image/2009/Falcon9MoonKatieDarby1200.jpg
06/09/2020,M1: The Crab Nebula from Hubble,image,https://apod.nasa.gov/apod/image/2009/CrabNebula_Hubble_960.jpg
07/09/2020,The Milky Way over St Michael's Mount,image,https://apod.nasa.gov/apod/image/2009/StMiMo_Hudson_960.jpg
08/09/2020,GW190521: Unexpected Black Holes Collide,image,https://apod.nasa.gov/apod/image/2009/GW190521_Virgo_1080.jpg
09/09/2020,Pleiades: The Seven Sisters Star Cluster,image,https://apod.nasa.gov/apod/image/2009/Pleiades_Fraile_960.jpg
10/09/2020,Jupiter's Swimming Storm,image,https://apod.nasa.gov/apod/image/2009/Jupiters1_swimmingstormsACasely1024.jpg
11/09/2020,The Reappearance of Mars,image,https://apod.nasa.gov/apod/image/2009/MarsReappearanceDuarte1024.jpg
12/09/2020,A Thousand Meteors,video,https://player.vimeo.com/video/438799770
13/09/2020,M2-9: Wings of a Butterfly Nebula,image,https://apod.nasa.gov/apod/image/2009/M2D9_HubbleSchmidt_985.jpg
14/09/2020,Corn Moon Rising,image,https://apod.nasa.gov/apod/image/2009/CornMoonRising_Palma_960.jpg
15/09/2020,Biomarker Phosphine Discovered in the Atmosphere of Venus,image,https://apod.nasa.gov/apod/image/2009/VenusClouds_Akatzuki_960.jpg
16/09/2020,Gravel Ejected from Asteroid Bennu,image,https://apod.nasa.gov/apod/image/2009/BennuEjecting_OsirisRex_960.jpg
17/09/2020,Solar Cycle 25 Has Begun,image,https://apod.nasa.gov/apod/image/2009/ig_maxmin.jpg
18/09/2020,Arp 78: Peculiar Galaxy in Aries,image,https://apod.nasa.gov/apod/image/2009/NGC772_PS2_CROP_INSIGHT1024.jpg
19/09/2020,Orion in Depth,image,https://apod.nasa.gov/apod/image/2009/Orion3Ddavison1024.jpg
20/09/2020,Breaking Distant Light,image,https://apod.nasa.gov/apod/image/2009/DistantSpectra_ESO_960.jpg
21/09/2020,Omega Sunrise,image,https://apod.nasa.gov/apod/image/2009/OmegaSunSail_Sendra_960.jpg
22/09/2020,Equinox in the Sky,image,https://apod.nasa.gov/apod/image/2009/SunsetMonths_Vanzella_1080_annotated.jpg
15/08/2020,Mars at the Moon's Edge,image,https://apod.nasa.gov/apod/image/2008/MoonOverMars_Scauso_960.jpg
16/08/2020,NGC 6814: Grand Design Spiral Galaxy from Hubble,image,https://apod.nasa.gov/apod/image/2008/NGC6814_HubbleSchmidt_960.jpg
23/09/2020,ISS Transits Mars,image,https://apod.nasa.gov/apod/image/2009/MarsISS_Glenn_1000.jpg
24/09/2020,Enceladus in Infrared,image,https://apod.nasa.gov/apod/image/2009/PIA24023_fig1_1050.jpg
25/09/2020,Moon over Andromeda,image,https://apod.nasa.gov/apod/image/2009/m31abtpmoon1024.jpg
26/09/2020,Moon Pairs and the Synodic Month,image,https://apod.nasa.gov/apod/image/2009/PairsMoonPace.jpg
27/09/2020,Lightning over Colorado,image,https://apod.nasa.gov/apod/image/2009/LightningStorm_Randall_1080.jpg
28/09/2020,Filaments of the Cygnus Loop,image,https://apod.nasa.gov/apod/image/2009/CygnusFilament_HubbleShatz_1080.jpg
29/09/2020,GW Orionis: A Star System with Tilted Rings,video,https://www.youtube.com/embed/ictZttw3c98?rel=0
30/09/2020,Sonified: Eagle Nebula Pillars,video,https://www.youtube.com/embed/DzrCEm1ZBRY?rel=0
01/10/2020,Solis Lacus: The Eye of Mars,image,https://apod.nasa.gov/apod/image/2010/m2020_09_22Adp.jpg
02/10/2020,Biking to the Moon,image,https://apod.nasa.gov/apod/image/2010/IMG_7493Colour1024.jpg
03/10/2020,Driving to the Sun,image,https://apod.nasa.gov/apod/image/2010/SDO_2020Oct2_1024_0171.jpg
04/10/2020,"Orion Nebula in Oxygen, Hydrogen, and Sulfur",image,https://apod.nasa.gov/apod/image/2010/m42HSO_gonzalez_960.jpg
05/10/2020,NGC 5643: Nearby Spiral Galaxy from Hubble,image,https://apod.nasa.gov/apod/image/2010/NGC5643_HubbleZamani_960.jpg
06/10/2020,Mars Approach 2020,image,https://apod.nasa.gov/apod/image/2010/MarsApproach2_Grayson_960.jpg
07/10/2020,Ou4: A Giant Squid in a Flying Bat,image,https://apod.nasa.gov/apod/image/2010/SquidBat_Akar_960.jpg
08/10/2020,Mare Frigoris,image,https://apod.nasa.gov/apod/image/2010/MareFrigorisMattSmith1024.jpg
09/10/2020,The Very Large Array at Moonset,image,https://apod.nasa.gov/apod/image/2010/VLA_Moonset_NIK_0991_1024.jpg
10/10/2020,Virgo Cluster Galaxies,image,https://apod.nasa.gov/apod/image/2010/markarian_FernandoPena1024.jpg
11/10/2020,Milky Way over the Pinnacles in Australia,image,https://apod.nasa.gov/apod/image/2010/PinnaclesGalaxy_Goh_1080.jpg
12/10/2020,Descending Toward Asteroid Bennu,video,https://www.youtube.com/embed/fbEcHDfi-vM?rel=0
13/10/2020,"Mars, Pleiades, and Andromeda over Stone Lions",image,https://apod.nasa.gov/apod/image/2010/MarsTriangle_Ozkeser_960.jpg
14/10/2020,The Colorful Clouds of Rho Ophiuchi,image,https://apod.nasa.gov/apod/image/2010/RhoAntares_Abolfath_1080.jpg
15/10/2020,Galaxies in Pegasus,image,https://apod.nasa.gov/apod/image/2010/NGC7331eder_1024.jpg
16/10/2020,Planetary Nebula Abell 78,image,https://apod.nasa.gov/apod/image/2010/PN_Abell78-1_1024c1.jpg
17/10/2020,Cygnus: Bubble and Crescent,image,https://apod.nasa.gov/apod/image/2010/NGC6888WissamAyoub1024.jpg
18/10/2020,UGC 1810: Wildly Interacting Galaxy from Hubble,image,https://apod.nasa.gov/apod/image/2010/Arp273Main_HubblePestana_1080.jpg
19/10/2020,A Flight over Jupiter Near the Great Red Spot,video,https://www.youtube.com/embed/xh3EKDghbuU
20/10/2020,Saturn and Jupiter over Italian Peaks,image,https://apod.nasa.gov/apod/image/2010/JupiterSaturnPeaks_Hofer_960.jpg
21/10/2020,A Night Sky Vista from Sardinia,image,https://apod.nasa.gov/apod/image/2010/Quantrids_Slovinsky_960.jpg
